ticker,total,environmental,social,governance,controversy
UAL,30.0,11.0,14.0,6.0,2.0
UPS,21.0,6.0,9.0,6.0,3.0
URI,17.0,4.0,7.0,6.0,1.0
UNH,20.0,0.0,14.0,6.0,3.0
UHS,31.0,3.0,19.0,9.0,3.0
UNM,23.0,3.0,8.0,12.0,1.0
VLO,28.0,16.0,7.0,5.0,3.0
VTR,12.0,3.0,4.0,4.0,0.0
VRSN,22.0,3.0,13.0,6.0,1.0
VRSK,21.0,0.0,15.0,6.0,1.0
VZ,18.0,2.0,10.0,6.0,3.0
VRTX,25.0,0.0,17.0,8.0,2.0
VFC,13.0,1.0,7.0,5.0,2.0
VIAC,,,,,
VTRS,,,,,
V,16.0,1.0,8.0,8.0,3.0
VNO,13.0,3.0,4.0,6.0,1.0
VMC,29.0,15.0,5.0,9.0,2.0
WRB,24.0,2.0,8.0,15.0,1.0
GWW,15.0,3.0,6.0,6.0,1.0
WAB,32.0,10.0,14.0,8.0,1.0
WBA,18.0,2.0,12.0,5.0,3.0
WMT,27.0,3.0,17.0,7.0,4.0
WM,15.0,8.0,4.0,4.0,2.0
WAT,18.0,1.0,11.0,6.0,0.0
WEC,33.0,18.0,9.0,5.0,1.0
WFC,33.0,1.0,16.0,16.0,5.0
WELL,11.0,3.0,3.0,5.0,1.0
WST,,,,,
WDC,12.0,2.0,4.0,6.0,1.0
WU,14.0,1.0,7.0,6.0,3.0
WRK,,,,,
WY,17.0,10.0,3.0,4.0,2.0
WHR,18.0,7.0,7.0,5.0,2.0
WMB,21.0,9.0,9.0,3.0,2.0
WLTW,21.0,0.0,10.0,10.0,2.0
WYNN,27.0,4.0,12.0,12.0,3.0
XEL,29.0,16.0,9.0,4.0,1.0
XLNX,19.0,5.0,6.0,8.0,1.0
XYL,17.0,4.0,8.0,5.0,2.0
YUM,22.0,4.0,13.0,5.0,3.0
ZBRA,,,,,
ZBH,28.0,5.0,14.0,10.0,2.0
ZION,,,,,
ZTS,18.0,1.0,8.0,9.0,1.0
